"Date 2023-10-14 21.31.37","Track Imola (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","1","6","93,4565505981445","Invalid lap. ","0L","1:54,050","0:32,812","0:33,587","0:47,650","+11,404","+12,837","+6,403","+6,489","OPTIMUM","Dry","26,371162204797","26,7701368819188","25,8606837361624","26,0745097509225","71,9012907380074","69,8075198247233","74,9171515129151","73,2089347140222","1","266 Km/h","28,6337536656891","3,607559","0","3,607559","0","0","21,02695","21,02695","0","2","31","Regular","1"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","2","5","90,8300476074219","","0L","1:42,735","0:22,945","0:32,455","0:47,335","+0,089","+1,522","-4,912","-4,826","OPTIMUM","Dry","26,9287775449102","27,0603602195609","27,0275360678643","26,9698191417166","77,6583099800399","72,9481671656687","87,0203896606786","82,8179991616767","1","268 Km/h","21,3980198019802","3,607559","0","3,607559","0","0","20,98608","20,98608","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","3","5","88,20751953125","","0L","1:41,322","0:21,877","0:32,470","0:46,975","-1,324","+0,109","-6,325","-6,239","OPTIMUM","Dry","27,0469311178862","27,0775958333333","27,1733424796748","27,0951048170732","78,9155241666667","73,1815419512195","88,5656551422764","84,1495066869919","1","264 Km/h","21,0680892337536","3,607559","0","3,607559","0","0","20,94721","20,94721","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","4","4","85,5956039428711","Invalid lap. ","0L","1:41,455","0:22,012","0:32,417","0:47,025","-1,191","+0,242","-6,192","-6,106","OPTIMUM","Dry","27,1132294736842","27,0746891700405","27,2299673684211","27,1247813562753","79,6323791295547","73,1775097773279","89,1817418421053","84,4848812550607","1","264 Km/h","21,9143562439497","3,607559","0","3,607559","0","0","20,90837","20,90837","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","5","4","82,9917526245117","Invalid lap. ","0L","1:42,135","0:21,810","0:32,895","0:47,430","-0,511","+0,922","-5,512","-5,426","OPTIMUM","Dry","27,0926382931727","27,0650010240964","27,233763313253","27,081441686747","79,4442336546185","73,1029381124498","89,2476325301205","84,0597741164659","1","264 Km/h","24,5565856031128","3,607559","0","3,607559","0","0","20,86764","20,86764","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","6","4","80,4016494750977","","0L","1:41,470","0:21,920","0:32,432","0:47,117","-1,176","+0,257","-6,177","-6,091","OPTIMUM","Dry","27,0326662348178","27,0463881578947","27,1773736639676","27,0227526923077","78,8458162348178","72,9353444939271","88,6865293522267","83,4747208097166","1","268 Km/h","21,7779411764706","3,607559","0","3,607559","0","0","20,82891","20,82891","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","7","4","77,8193893432617","","0L","1:41,802","0:21,750","0:32,692","0:47,360","-0,844","+0,589","-5,845","-5,759","OPTIMUM","Dry","27,0415581451613","27,0440984072581","27,1525385887097","27,0290437298387","78,9646357258065","72,9376933467742","88,4540303427419","83,5664514112903","1","270 Km/h","22,0016865079365","3,607559","0","3,607559","0","0","20,79021","20,79021","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","8","4","75,218376159668","","0L","1:42,150","0:21,895","0:32,842","0:47,412","-0,496","+0,937","-5,497","-5,411","OPTIMUM","Dry","27,0176542052314","27,0484301408451","27,0983092555332","27,0011707645875","78,7419379476861","73,0091126559356","87,915442555332","83,3024075050302","1","271 Km/h","21,9611056268509","3,607559","0","3,607559","0","0","20,74963","20,74963","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","9","4","72,6383819580078","","0L","1:41,887","0:22,120","0:32,450","0:47,317","-0,759","+0,674","-5,760","-5,674","OPTIMUM","Dry","27,0141749087221","27,040990851927","27,1270147464503","27,0192559229209","78,7319861663286","72,9579103042596","88,2635061663286","83,5170862677485","1","268 Km/h","21,4255402750491","3,607559","0","3,607559","0","0","20,71104","20,71104","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","10","4","70,0713653564453","Invalid lap. ","0L","1:42,305","0:22,655","0:32,640","0:47,010","-0,341","+1,092","-5,342","-5,256","OPTIMUM","Dry","27,0152367474747","27,0012866262626","27,1329012121212","27,0477961818182","78,769268989899","72,5705497373737","88,3988599191919","83,8406034545455","1","268 Km/h","21,7952611218569","3,607559","0","3,607559","0","0","20,67059","20,67059","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","11","4","67,4584045410156","","0L","1:41,675","0:21,755","0:32,395","0:47,525","-0,971","+0,462","-5,972","-5,886","OPTIMUM","Dry","27,0203799391481","26,9924818661258","27,1088050912779","27,0107374036511","78,8490371196755","72,5050263488844","88,1740523935091","83,4807621501014","1","264 Km/h","22,3707753479125","3,607559","0","3,607559","0","0","20,6321","20,6321","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","12","4","64,8556671142578","","0L","1:41,735","0:21,837","0:32,715","0:47,182","-0,911","+0,522","-5,912","-5,826","OPTIMUM","Dry","26,9857708097166","27,0007176518219","27,0946680364372","26,9956925101215","78,5145617206478","72,6168487246964","88,0528248380567","83,350086194332","1","267 Km/h","22,6287819253438","3,607559","0","3,607559","0","0","20,59368","20,59368","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","13","3","62,2558555603027","","0L","1:41,490","0:21,767","0:32,702","0:47,020","-1,156","+0,277","-6,157","-6,071","OPTIMUM","Dry","26,9600885020243","26,9927298987854","27,099991194332","26,9956323684211","78,2730648178138","72,559668340081","88,1342997773279","83,3754815182186","1","268 Km/h","22,6805068226121","3,607559","0","3,607559","0","0","20,55341","20,55341","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","14","3","59,6615219116211","","0L","1:41,615","0:21,832","0:32,435","0:47,347","-1,031","+0,402","-6,032","-5,946","OPTIMUM","Dry","27,0117071862348","27,0119010121458","27,1546047368421","27,0401428947368","78,8366895951417","72,7853008299595","88,7291199595142","83,8650654655871","1","264 Km/h","22,0496131528046","3,607559","0","3,607559","0","0","20,51512","20,51512","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","15","3","57,0703506469727","","0L","1:41,620","0:21,835","0:32,482","0:47,302","-1,026","+0,407","-6,027","-5,941","OPTIMUM","Dry","26,9674557606491","26,9682444827586","27,1349861460446","27,0028992089249","78,4016131440162","72,3564214401623","88,5506382352941","83,5029867139959","1","264 Km/h","23,6898452611219","3,607559","0","3,607559","0","0","20,47688","20,47688","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","16","3","54,46728515625","","0L","1:41,727","0:21,772","0:32,600","0:47,355","-0,919","+0,514","-5,920","-5,834","OPTIMUM","Dry","26,9170308924949","26,9536680730223","27,1201553346856","26,994430831643","77,9022486612576","72,2304749087221","88,4220454158215","83,4406692900609","1","265 Km/h","22,5695357833656","3,607559","0","3,607559","0","0","20,43682","20,43682","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","17","2","51,8671646118164","Invalid lap. ","0L","1:45,095","0:22,305","0:33,382","0:49,407","+2,449","+3,882","-2,552","-2,466","OPTIMUM","Dry","26,8774087968442","26,9483689349112","27,0370305128205","26,9528656410256","77,5158131952663","72,2289119526627","87,5824535700197","83,0763317948718","1","265 Km/h","24,6397198067633","3,607559","0","3,607559","0","0","20,39683","20,39683","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","18","6","49,4647979736328","","0L","2:00,245","0:21,777","0:32,447","","+17,599","+19,032","+12,598","+12,684","OPTIMUM","Dry","26,9171208247423","26,9283086941581","27,0474567697595","26,934136185567","77,9580454810997","72,1078031786942","87,7196291408935","83,0024680756014","1","264 Km/h","22,7060019361084","3,607559","0","3,607559","0","0","20,35122","20,35122","0","2","31","Inlap","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","19","8","47,8023910522461","","0L","2:08,327","0:48,370","0:32,632","0:47,325","+25,681","+27,114","+20,680","+20,766","OPTIMUM","Dry","26,7063258842444","26,6686351286174","26,6648375080386","26,5057644533762","75,7937198713826","69,4343280868167","83,7654686012862","78,5717172186495","1","239 Km/h","28,1851600387973","3,607559","0","3,607559","0","0","20,30382","20,30382","0","2","31","Outlap","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","20","4","45,1872520446777","","0L","1:42,207","0:22,352","0:32,485","0:47,370","-0,439","+0,994","-5,440","-5,354","OPTIMUM","Dry","26,8204827309237","26,8388673493976","27,0045419076305","26,8569568473896","77,0119479518072","71,2366720080321","87,3331493172691","82,2590668674699","1","263 Km/h","22,5725742574257","3,607559","0","3,607559","0","0","20,2641","20,2641","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","21","2","42,5818138122559","","0L","1:41,817","0:21,905","0:32,647","0:47,265","-0,829","+0,604","-5,830","-5,744","OPTIMUM","Dry","26,9195021370968","26,9120538306452","27,0783665120968","26,9476117943548","78,0691070362903","72,0247407056452","88,127863125","83,229093266129","1","264 Km/h","22,9165510406343","3,607559","0","3,607559","0","0","20,22635","20,22635","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","22","2","39,9969749450684","","0L","1:41,895","0:21,847","0:32,557","0:47,490","-0,751","+0,682","-5,752","-5,666","OPTIMUM","Dry","26,9169355130785","26,9368373843058","27,0699335814889","26,9618554124748","78,0679458350101","72,3084801609658","88,0655958148893","83,4030394969819","1","264 Km/h","21,3607804878049","3,607559","0","3,607559","0","0","20,18868","20,18868","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","23","2","37,4106216430664","","0L","1:41,647","0:21,887","0:32,505","0:47,255","-0,999","+0,434","-6,000","-5,914","OPTIMUM","Dry","26,9025501814516","26,9244249395161","27,0410307258065","26,9352266733871","77,9436242137097","72,204701733871","87,7900469758064","83,1511803830645","1","265 Km/h","22,241348973607","3,607559","0","3,607559","0","0","20,14921","20,14921","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","24","2","34,8261985778809","","0L","1:42,555","0:21,890","0:33,447","0:47,217","-0,091","+1,342","-5,092","-5,006","OPTIMUM","Dry","26,8571043486974","26,9033330861723","26,9618677755511","26,8681618436874","77,4957885571142","72,0105555911824","86,9909912024048","82,4781462324649","1","268 Km/h","22,6633365664403","3,607559","0","3,607559","0","0","20,11171","20,11171","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","25","2","32,2304496765137","","0L","1:41,720","0:21,795","0:32,595","0:47,330","-0,926","+0,507","-5,927","-5,841","OPTIMUM","Dry","26,855639050505","26,9123463434343","26,9933662424242","26,9022123636364","77,5060238989899","72,1299431313131","87,344601030303","82,8583406060606","1","265 Km/h","22,048166023166","3,607559","0","3,607559","0","0","20,07242","20,07242","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","26","2","29,6215934753418","","0L","1:41,265","0:21,785","0:32,460","0:47,020","-1,381","+0,052","-6,382","-6,296","OPTIMUM","Dry","26,8891198782961","26,9198419066937","27,0083860040568","26,9145717444219","77,8800636308316","72,2333059229209","87,5263370182556","83,0123647667343","1","264 Km/h","22,62958984375","3,607559","0","3,607559","0","0","20,0351","20,0351","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","27","2","27,0402374267578","","0L","1:41,715","0:21,822","0:32,625","0:47,267","-0,931","+0,502","-5,932","-5,846","OPTIMUM","Dry","26,8952285110664","26,9064395171026","27,0035227967807","26,9125250704225","77,9689061971831","72,118905472837","87,5008928973843","83,0162592354125","1","265 Km/h","22,2470531400966","3,607559","0","3,607559","0","0","19,99787","19,99787","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","28","2","24,4502773284912","","0L","1:41,532","0:21,812","0:32,597","0:47,122","-1,114","+0,319","-6,115","-6,029","OPTIMUM","Dry","26,8987476923077","26,9031097773279","26,991626437247","26,8865421659919","78,030752145749","72,109405","87,40215548583","82,7707901417004","1","265 Km/h","21,9342003853565","3,607559","0","3,607559","0","0","19,96073","19,96073","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","29","2","21,848762512207","Invalid lap. ","0L","1:41,867","0:21,717","0:32,487","0:47,662","-0,779","+0,654","-5,780","-5,694","OPTIMUM","Dry","26,9066363253012","26,9181025502008","26,9977647389558","26,882781686747","78,1381016465864","72,2907601405622","87,4912741365462","82,756792811245","1","265 Km/h","22,1422549019608","3,607559","0","3,607559","0","0","19,92183","19,92183","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","30","2","19,2522602081299","","0L","1:41,830","0:21,872","0:32,522","0:47,435","-0,816","+0,617","-5,817","-5,731","OPTIMUM","Dry","26,8755085454545","26,9059275555556","26,9818843030303","26,872342040404","77,8389481010101","72,1890324444445","87,3509487070707","82,6731444242424","1","263 Km/h","22,9204545454545","3,607559","0","3,607559","0","0","19,88489","19,88489","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","31","2","16,6779518127441","","0L","1:42,120","0:21,812","0:32,442","0:47,865","-0,526","+0,907","-5,527","-5,441","OPTIMUM","Dry","26,9001719153226","26,9036603830645","26,9798423185484","26,8810618548387","78,12092625","72,1904841330645","87,3547463306452","82,7890408669355","1","265 Km/h","22,657240704501","3,607559","0","3,607559","0","0","19,8462","19,8462","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","32","2","14,054051399231","","0L","1:41,625","0:21,775","0:32,600","0:47,250","-1,021","+0,412","-6,022","-5,936","OPTIMUM","Dry","26,9207703036437","26,904321659919","26,9655003846154","26,8800130364372","78,3604756680162","72,2223527530364","87,2303344129555","82,8030948582996","1","264 Km/h","22,8705433746425","3,607559","0","3,607559","0","0","19,80945","19,80945","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","33","2","11,4686307907105","","0L","1:41,497","0:21,730","0:32,507","0:47,260","-1,149","+0,284","-6,150","-6,064","OPTIMUM","Dry","26,8925710931174","26,8992545951417","26,9682096963563","26,8791381983806","78,0915881983806","72,1944257692308","87,283407145749","82,8188386234818","1","265 Km/h","22,5016650342801","3,607559","0","3,607559","0","0","19,77281","19,77281","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","34","2","8,88209342956543","","0L","1:41,592","0:21,732","0:32,625","0:47,235","-1,054","+0,379","-6,055","-5,969","OPTIMUM","Dry","26,8488384008097","26,8568769635627","26,9065438663968","26,8158025506073","77,6607728137652","71,7777272064777","86,665787631579","82,1838243927126","1","265 Km/h","22,5131178707224","3,607559","0","3,607559","0","0","19,73444","19,73444","0","2","31","Regular","0"
"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","35","2","6,30360507965088","","0L","1:42,000","0:21,987","0:32,585","0:47,427","-0,646","+0,787","-5,647","-5,561","OPTIMUM","Dry","26,8221945180723","26,8439646787149","26,889117248996","26,7935048594378","77,4080310441767","71,668022188755","86,5090612650602","81,9763575702811","1","265 Km/h","23,2556107249255","3,607559","0","3,607559","0","0","19,69762","19,69762","0","2","31","Regular","0"
