"Date 2023-09-18 22.30.28","Track Donington Park (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","1","6","88,9523849487305","","0L","1:33,805","0:25,372","0:34,880","0:33,552","+5,690","+7,052","+3,826","+2,753","FAST","Dry","25,9181691875423","25,7681384901828","25,7342076709546","25,6801998442789","65,2670058970887","67,9347018212593","66,517200873392","69,1962916587678","1","238 Km/h","31,3332406519655","0","0","0","0","0","22,7878","28,06551","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","2","6","86,4225692749023","","0L","1:28,077","0:20,360","0:34,395","0:33,322","-0,038","+1,324","-1,902","-2,975","FAST","Dry","26,9543585545024","27,1225345260663","26,863189478673","27,0655083649289","76,6619712796209","81,9793530094787","78,2361720379147","83,4686526066351","1","238 Km/h","24,5226577437858","0","0","0","0","0","22,68726","27,82378","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","3","6","83,8994674682617","","0L","1:27,562","0:20,292","0:34,065","0:33,205","-0,553","+0,809","-2,417","-3,490","FAST","Dry","27,197810071599","27,4164933651551","27,1615762529833","27,3252789976134","79,2629548448687","85,5449724343675","81,409397947494","87,2446290930788","1","239 Km/h","25,4932118887824","0","0","0","0","0","22,59447","27,59753","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","4","5","81,388542175293","Invalid lap. ","0L","1:29,002","0:20,317","0:34,757","0:33,927","+0,887","+2,249","-0,977","-2,050","FAST","Dry","27,2139470327103","27,396989135514","27,2168995093458","27,3486388551402","79,4860990654206","85,7974685747664","82,0407327803738","88,008476635514","1","238 Km/h","25,1955747126437","0","0,4418961","0,4418961","0","0","22,51951","27,40945","0","2","31","Regular","2"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","5","5","78,8651275634766","Invalid lap. ","0L","1:29,710","0:21,312","0:34,737","0:33,660","+1,595","+2,957","-0,269","-1,342","GREASY","Dry","27,017050462963","27,1367956944444","26,9822310416667","27,1303491898148","77,764628125","83,4328932175926","80,5784756712963","86,0641599768519","1","234 Km/h","23,8530479774224","0","20,96289","20,96289","0","0","21,93865","26,26385","0","2","31","Regular","1"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","6","5","76,3670501708984","","0L","1:30,050","0:20,627","0:34,982","0:34,440","+1,935","+3,297","+0,071","-1,002","GREASY","Dry","25,6695566820276","25,6485082258065","25,5608534562212","25,5826846313364","63,8260959907834","68,059904124424","66,1099074423963","70,0405156912442","1","234 Km/h","24,3533524904215","0","20,96289","20,96289","0","0","21,89962","26,15892","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","7","5","73,8505020141602","","0L","1:31,605","0:20,922","0:35,812","0:34,870","+3,490","+4,852","+1,626","+0,553","DAMP","Dry","24,6205370045045","24,4774291666667","24,3982001126126","24,301468536036","52,9072148873874","55,8695711486487","54,0073479954955","56,702920472973","1","233 Km/h","24,3698615232443","0","20,96289","20,96289","0","0","21,91472","26,15867","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","8","5","71,3603363037109","","0L","1:32,330","0:21,062","0:36,650","0:34,617","+4,215","+5,577","+2,351","+1,278","DAMP","Dry","24,2626992376682","24,0384995964126","23,9384766367713","23,6827631838565","48,8884289686099","51,0060776681614","48,9272506502242","50,7731652690583","1","231 Km/h","23,6454019607843","0","20,96289","20,96289","0","0","22,41109","27,05846","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","9","5","68,8731536865234","","0L","1:31,550","0:20,990","0:36,007","0:34,552","+3,435","+4,797","+1,571","+0,498","GREASY","Dry","24,3732957918552","24,1321247963801","24,023632239819","23,7521296380091","50,3074477149321","51,9309355882353","50,4175168778281","51,7734815384616","1","232 Km/h","24,1447497639282","0","20,96289","20,96289","0","0","22,4213","27,04546","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","10","5","66,3800964355469","Invalid lap. ","0L","1:30,337","0:20,855","0:35,345","0:34,137","+2,222","+3,584","+0,358","-0,715","GREASY","Dry","24,6164369724771","24,226160733945","24,2992276605505","23,9036722477064","53,0365769266055","54,2237870642202","53,5194673623853","54,3528361697248","1","234 Km/h","24,5660098039216","0","20,96289","20,96289","0","0","22,43692","27,04449","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","11","5","63,8642730712891","","0L","1:29,897","0:20,745","0:35,065","0:34,087","+1,782","+3,144","-0,082","-1,155","GREASY","Dry","24,9185088965517","24,5367911724138","24,6342927586207","24,2454576091954","56,3621180689655","58,0551305057471","57,008350183908","58,3230403448276","1","234 Km/h","24,4181721470019","0","20,96289","20,96289","0","0","22,45301","27,0435","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","12","5","61,343391418457","","0L","1:29,702","0:20,965","0:35,002","0:33,735","+1,587","+2,949","-0,277","-1,350","GREASY","Dry","25,1503172055427","24,669194965358","24,9215035796767","24,351172147806","58,7672390531178","60,2858167898383","59,9905807159353","61,0913325866051","1","233 Km/h","24,7135652173913","0","20,96289","20,96289","0","0","22,46469","27,03228","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","13","5","58,8143501281738","","0L","1:29,332","0:20,685","0:35,022","0:33,625","+1,217","+2,579","-0,647","-1,720","GREASY","Dry","25,5190895804196","24,9421287645688","25,313068018648","24,6039192074592","62,6034111888112","63,6943844755245","64,0641685780886","64,8493815384615","1","235 Km/h","22,8243292102759","0","20,96289","20,96289","0","0","22,46784","27,0044","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","14","5","56,3216285705566","","0L","1:28,957","0:20,590","0:34,740","0:33,627","+0,842","+2,204","-1,022","-2,095","GREASY","Dry","25,9350373426573","25,3133081351981","25,7810373426573","24,948456037296","66,9377338461539","67,8693215850816","68,9403871561772","69,3369416317016","1","235 Km/h","24,5631615460852","0","20,96289","20,96289","0","0","22,45972","26,95036","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","15","5","53,7929229736328","","0L","1:28,562","0:20,567","0:34,662","0:33,332","+0,447","+1,809","-1,417","-2,490","OPTIMUM","Dry","26,3908309133489","25,8703211007026","26,2954871428571","25,5438107494145","71,6955047540984","73,7385115690867","74,3091577283372","75,8258772833724","1","235 Km/h","24,4385782442748","0","20,96289","20,96289","0","0","22,43783","26,86718","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","16","5","51,2821502685547","","0L","1:27,980","0:20,430","0:34,327","0:33,222","-0,135","+1,227","-1,999","-3,072","OPTIMUM","Dry","26,7922399049881","26,5051417339667","26,7551445605701","26,2292442280285","75,895855391924","80,3702348456057","79,1162620665083","82,984816175772","1","235 Km/h","25,2732824427481","0","20,96289","20,96289","0","0","22,40138","26,75358","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","17","5","48,7552719116211","","0L","1:27,662","0:20,370","0:34,097","0:33,195","-0,453","+0,909","-2,317","-3,390","OPTIMUM","Dry","27,0097808353222","26,9224011217184","27,0026371599045","26,6940028400955","78,1900509785203","84,7448317899761","81,7224552983294","87,8541996658711","1","236 Km/h","24,1325650916104","0","20,96289","20,96289","0","0","22,35403","26,61958","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","18","5","46,2543449401855","","0L","1:27,560","0:20,272","0:34,115","0:33,172","-0,555","+0,807","-2,419","-3,492","OPTIMUM","Dry","27,0092377511962","27,0390369617225","27,054985645933","26,8310598325359","78,6637815311005","86,0358042344498","82,3042379904306","89,3183601674641","1","237 Km/h","24,3136608863198","0","20,96289","20,96289","0","0","22,29174","26,45287","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","19","5","43,7456932067871","","0L","1:27,647","0:20,445","0:33,992","0:33,210","-0,468","+0,894","-2,332","-3,405","OPTIMUM","Dry","27,0259827923628","27,0314871121718","27,067741026253","26,8233238663484","78,9883220763723","86,0167364439141","82,4807628878282","89,2814354653938","1","236 Km/h","24,5184755512943","0","20,96289","20,96289","0","0","22,22361","26,27673","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","20","5","41,2260704040527","","0L","1:27,595","0:20,310","0:34,117","0:33,167","-0,520","+0,842","-2,384","-3,457","OPTIMUM","Dry","27,0533479236277","27,0755554653938","27,0863748448687","26,8926195465394","79,322606849642","86,5250134606205","82,7240970644391","90,0524959904535","1","237 Km/h","24,4608834951456","0","20,96289","20,96289","0","0","22,14452","26,07654","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","21","5","38,7051773071289","","0L","1:28,565","0:20,370","0:35,067","0:33,127","+0,450","+1,812","-1,414","-2,487","OPTIMUM","Dry","27,0616027934272","27,0294885446009","27,0617517605634","26,8273686384977","79,4616126760563","86,0981739906103","82,5206266666667","89,4258166666667","1","237 Km/h","22,9804030710173","0","20,96289","20,96289","0","0","22,06626","25,88075","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","22","4","36,2062835693359","Invalid lap. ","0L","1:27,945","0:20,315","0:33,990","0:33,640","-0,170","+1,192","-2,034","-3,107","OPTIMUM","Dry","27,0245021090047","26,9734815876777","27,0638285308057","26,6884569194313","79,1297453317536","85,78176007109","82,6038777014218","89,2388250473934","1","238 Km/h","26,5137084148728","0","20,96289","20,96289","0","0","21,98274","25,67269","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","23","4","33,6903190612793","","0L","1:27,825","0:20,332","0:34,065","0:33,427","-0,290","+1,072","-2,154","-3,227","OPTIMUM","Dry","26,9920087648456","26,9468460570071","27,0408064845606","26,6523642280285","78,8450715914489","85,7944708076009","82,4320191686461","89,4961267695962","1","237 Km/h","25,8335505193579","0","20,96289","20,96289","0","0","21,90151","25,46969","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","24","2","31,1695766448975","","0L","1:27,810","0:20,372","0:34,210","0:33,227","-0,305","+1,057","-2,169","-3,242","OPTIMUM","Dry","26,980248456057","26,9649713301663","27,0159079809976","26,6429026840855","78,7741097624703","86,0929725178147","82,2242050118765","89,4862122090261","1","237 Km/h","22,4809194312796","0","20,96289","20,96289","0","0","21,82911","25,28694","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","25","2","28,6564273834229","","0L","1:27,787","0:20,345","0:34,195","0:33,247","-0,328","+1,034","-2,192","-3,265","OPTIMUM","Dry","26,9365589073634","26,8959806413302","26,939286912114","26,595184631829","78,6857653206651","85,7463749881235","82,6001088361045","89,5299790736342","1","236 Km/h","25,3591666666667","0","20,96289","20,96289","0","0","21,75869","25,10601","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","26","2","26,1415157318115","Invalid lap. ","0L","1:27,657","0:20,310","0:34,315","0:33,032","-0,458","+0,904","-2,322","-3,395","OPTIMUM","Dry","26,9142825238095","26,938198047619","26,8367390952381","26,5994984285714","78,8117024047619","86,3665997857143","82,6857392857143","89,926202452381","1","236 Km/h","24,7330579297246","0","20,96289","20,96289","0","0","21,69887","24,94839","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","27","2","23,6263656616211","","0L","1:28,017","0:20,370","0:34,332","0:33,315","-0,098","+1,264","-1,962","-3,035","OPTIMUM","Dry","26,9083202606635","26,9214991943128","26,8252303791469","26,5635534597156","78,793937014218","86,2369991232228","82,6102059952607","89,7201636255924","1","237 Km/h","23,1101447876448","0","20,96289","20,96289","0","0","21,15078","24,01238","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","28","2","21,1111469268799","","0L","1:29,932","0:20,535","0:35,045","0:34,352","+1,817","+3,179","-0,047","-1,120","GREASY","Dry","26,5125881018519","26,3977698611111","26,4083608101852","26,0461577083333","75,0341171759259","81,1438738888889","78,6302015277778","84,6930105092593","1","237 Km/h","24,1168365384615","0","20,96289","20,96289","0","0","21,08827","23,85975","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","29","2","18,6148815155029","","0L","1:31,160","0:20,750","0:35,535","0:34,875","+3,045","+4,407","+1,181","+0,108","GREASY","Dry","25,1549411441648","24,8285837070938","24,9224131578947","24,3632362242563","60,9272446681922","64,8334678489703","63,1868629290618","67,1978625171625","1","234 Km/h","23,2277034883721","0","20,96289","20,96289","0","0","21,04509","23,73924","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","30","2","16,1402988433838","","0L","1:33,857","0:21,100","0:36,720","0:36,037","+5,742","+7,104","+3,878","+2,805","DAMP","Dry","24,2112216035635","23,7665538975501","23,8613605122494","23,1758141202673","51,1213131848552","53,7951409131403","52,1587101336303","54,8533644988864","1","233 Km/h","23,554913957935","0","20,96289","20,96289","0","0","21,01419","23,63558","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","31","1","13,6495809555054","","0L","1:34,022","0:21,782","0:37,057","0:35,182","+5,907","+7,269","+4,043","+2,970","DAMP","Dry","23,9227916851441","23,3868431263858","23,4835531042129","22,6920740354767","47,8423148337029","49,5652965853659","47,9487011973392","49,5398861197339","1","233 Km/h","23,7363556851312","0","20,96289","20,96289","0","0","21,46517","24,26678","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","32","1","11,1587953567505","","0L","1:31,847","0:21,045","0:35,880","0:34,922","+3,732","+5,094","+1,868","+0,795","GREASY","Dry","24,1153226590909","23,5638520454545","23,6624901363636","22,821415","49,8442958181818","51,4055889545455","49,8090730681818","51,1765621590909","1","233 Km/h","23,4118328584995","0","20,96289","20,96289","0","0","21,42533","24,14361","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","33","1","8,64609336853027","","0L","1:31,052","0:21,010","0:35,515","0:34,527","+2,937","+4,299","+1,073","+0,000","GREASY","Dry","24,3759686666667","23,8117148275862","23,9561485977012","23,0714547816092","52,5871888965517","54,0153268965517","52,8958467356322","53,9304788275862","1","234 Km/h","23,7080428432327","0","20,96289","20,96289","0","0","21,38275","24,01499","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","34","1","6,15229225158691","","0L","1:30,910","0:21,115","0:35,355","0:34,440","+2,795","+4,157","+0,931","-0,142","GREASY","Dry","24,6024372580645","24,013389516129","24,2247930414746","23,2866534331797","54,9763180645161","56,1461838709677","55,724311797235","56,5477767741936","1","234 Km/h","23,1615355086372","0","20,96289","20,96289","0","0","21,33592","23,87827","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","35","1","3,65063643455505","","0L","1:30,465","0:20,845","0:35,375","0:34,245","+2,350","+3,712","+0,486","-0,587","GREASY","Dry","24,7476607834101","24,1400006682028","24,4675770046083","23,4285746082949","57,0747496313364","57,498271843318","58,2865302764977","58,3259152073733","1","235 Km/h","22,935355450237","0","20,96289","20,96289","0","0","21,28384","23,7318","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","36","1","1,27263104915619","","0L","1:33,975","0:20,742","0:35,085","0:38,147","+5,860","+7,222","+3,996","+2,923","GREASY","Dry","24,8561215367483","24,3976871492205","24,5912926726058","23,6661757683742","58,453036481069","60,2318262138085","59,6245542761693","61,1961175278396","1","235 Km/h","22,603132183908","0","20,96289","20,96289","0","0","20,73041","22,85695","0","2","31","Inlap","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","37","6","17,728214263916","Invalid lap. ","0L","2:24,392","","0:35,850","0:34,997","+56,277","+57,639","+54,413","+53,340","DAMP","Wet","27,4829146743849","27,5391102170767","27,391669015919","27,2852132127352","52,1451617366136","53,8328618813314","54,5865059479016","55,5854932850941","1","232 Km/h","29,0710541310541","0","20,96289","20,96289","0","0","20,54472","22,48409","0","2","31","Outlap","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","38","6","15,232871055603","","0L","1:31,732","0:20,960","0:35,855","0:34,917","+3,617","+4,979","+1,753","+0,680","DAMP","Wet","31,2529256818182","31,6349317727273","31,2721422272727","31,5846787272727","74,6411521136364","77,2527951590909","77,9663150454545","79,0528307954545","1","233 Km/h","23,8272050290135","0","20,96289","20,96289","0","0","20,40607","22,22122","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","39","5","12,7258853912354","","0L","1:33,742","0:21,242","0:37,310","0:35,190","+5,627","+6,989","+3,763","+2,690","WET","Wet","30,6914508463252","31,0279868596882","30,7723051447661","31,099995077951","68,8925101113586","71,030504142539","72,8597340089087","74,1040961915368","1","232 Km/h","22,6053868471954","0","20,96289","20,96289","0","0","20,24661","21,9283","0","2","31","Regular","0"
"McLaren 720S GT3 EVO","1","Ville Synkkänen (SYN)","","40","4","10,227162361145","","0L","1:33,057","0:21,170","0:36,905","0:34,982","+4,942","+6,304","+3,078","+2,005","WET","Wet","30,0631748883929","30,3661275","30,1522955580357","30,4761525446429","62,4550664955357","64,2432331696429","66,5083999776786","67,7128350223214","1","231 Km/h","24,6548310502283","0","20,96289","20,96289","0","0","20,07944","21,62812","0","2","31","Regular","0"
